机构名称,表中文名,字段中文（可忽略）,数据元
自然资源,采矿权人信息,采矿权人姓名,采矿权人姓名
自然资源,采矿权人信息,采矿权人身份证号,采矿权人公民身份号码
自然资源,采矿权人信息,采矿权许可证号,许可证号
自然资源,采矿权人信息,法定代表人,法定代表人
自然资源,采矿权人信息,开采矿种,开采矿种
自然资源,采矿权人信息,矿区面积,矿区面积
自然资源,采矿权人信息,矿山名称,矿山名称
自然资源,采矿权人信息,联系电话,联系电话
自然资源,采矿权人信息,年开采规模,年开采规模
自然资源,采矿权人信息,统一社会信用代码,统一社会信用代码
自然资源,采矿权人信息,有效到期日期,有效到期日期
自然资源,采矿权人信息,有效起始日期,有效起始日期
自然资源,采矿权人信息,住所,住所地址
自然资源,采矿权人信息,组织机构代码,组织机构代码
自然资源,采矿申请登记信息,变更类型,变更类型
自然资源,采矿申请登记信息,采矿方法,采矿方法
自然资源,采矿申请登记信息,采矿回采率,采矿回采率
自然资源,采矿申请登记信息,采矿权取得方式,采矿权取得方式
自然资源,采矿申请登记信息,采矿权使用费,采矿权使用费
自然资源,采矿申请登记信息,采深上限,矿产采深上限
自然资源,采矿申请登记信息,采深下限,矿产采深下限
自然资源,采矿申请登记信息,地质报告审批情况,矿产地质报告审批情况
自然资源,采矿申请登记信息,法定代表人,法定代表人
自然资源,采矿申请登记信息,划定矿区范围,划定矿区范围
自然资源,采矿申请登记信息,经济类型,采矿权经济类型
自然资源,采矿申请登记信息,价款处置方式,价款处置方式
自然资源,采矿申请登记信息,开采方式,采矿开采方式
自然资源,采矿申请登记信息,开采主矿种,开采矿种
自然资源,采矿申请登记信息,矿区编码,矿区编码
自然资源,采矿申请登记信息,矿区面积,矿区面积
自然资源,采矿申请登记信息,矿权终止时间,矿权终止日期
自然资源,采矿申请登记信息,矿山名称,矿山名称
自然资源,采矿申请登记信息,矿石贫化率,矿石贫化率
自然资源,采矿申请登记信息,矿石品位,矿石品位
自然资源,采矿申请登记信息,签发时间,发证日期
自然资源,采矿申请登记信息,其它主矿种,其它主矿种
自然资源,采矿申请登记信息,设计规模,矿产设计规模
自然资源,采矿申请登记信息,设计利用储量,矿产设计利用储量
自然资源,采矿申请登记信息,设计年限,采矿年限
自然资源,采矿申请登记信息,申请人,申请人姓名
自然资源,采矿申请登记信息,申请人身份证号,申请人公民身份号码
自然资源,采矿申请登记信息,所在行政区,行政区划名称
自然资源,采矿申请登记信息,探矿权取得方式,探矿权取得方式
自然资源,采矿申请登记信息,探明地质储量,矿产探明地质储量
自然资源,采矿申请登记信息,投资额,采矿投资额
自然资源,采矿申请登记信息,投资额单位,投资额单位
